,fecha,estacion,tsm,ano,mes,chla,mes_num,est_index,longitud,latitud,evento,oni,estacion_climatica
7001,2015-12-01,est_7,22.7828,2015.0,12,1.0994,12,6.0,-111.2,26.3,Niño,2.6,DJF
7002,2015-12-01,est_8,22.0922,2015.0,12,1.3932,12,7.0,-111.5,26.8,Niño,2.6,DJF
7003,2015-12-01,est_9,22.2778,2015.0,12,2.3304,12,8.0,-111.9,27.2,Niño,2.6,DJF
7004,2016-01-01,est_1,23.8511,2016.0,1,0.4136,01,0.0,-109.3,23.8,Niño,2.5,DJF
7005,2016-01-01,est_10,20.2378,2016.0,1,2.0708,01,9.0,-112.3,27.6,Niño,2.5,DJF
7006,2016-01-01,est_11,19.7595,2016.0,1,1.6228,01,10.0,-112.6,28.0,Niño,2.5,DJF
7007,2016-01-01,est_12,18.2533,2016.0,1,0.929,01,11.0,-112.9,28.5,Niño,2.5,DJF
7008,2016-01-01,est_13,18.3711,2016.0,1,0.764,01,12.0,-113.2,28.9,Niño,2.5,DJF
7009,2016-01-01,est_14,18.0489,2016.0,1,0.8317,01,13.0,-113.6,29.4,Niño,2.5,DJF
7010,2016-01-01,est_15,18.6033,2016.0,1,0.9223,01,14.0,-114.0,29.7,Niño,2.5,DJF
7011,2016-01-01,est_16,18.2617,2016.0,1,1.4144,01,15.0,-114.5,30.2,Niño,2.5,DJF
7012,2016-01-01,est_17,17.9745,2016.0,1,1.4832,01,16.0,-114.5,30.7,Niño,2.5,DJF
7013,2016-01-01,est_2,23.8533,2016.0,1,0.6007,01,1.0,-109.7,24.2,Niño,2.5,DJF
7014,2016-01-01,est_3,22.8528,2016.0,1,0.8961,01,2.0,-110.1,24.6,Niño,2.5,DJF
7015,2016-01-01,est_4,22.4939,2016.0,1,0.9854,01,3.0,-110.5,24.8,Niño,2.5,DJF
7016,2016-01-01,est_5,22.4422,2016.0,1,1.0216,01,4.0,-110.8,25.3,Niño,2.5,DJF
7017,2016-01-01,est_6,22.3828,2016.0,1,0.9072,01,5.0,-111.1,25.8,Niño,2.5,DJF
7018,2016-01-01,est_7,21.8311,2016.0,1,1.1993,01,6.0,-111.2,26.3,Niño,2.5,DJF
7019,2016-01-01,est_8,20.6683,2016.0,1,1.1213,01,7.0,-111.5,26.8,Niño,2.5,DJF
7020,2016-01-01,est_9,20.6461,2016.0,1,1.7828,01,8.0,-111.9,27.2,Niño,2.5,DJF
7021,2016-02-01,est_1,22.64,2016.0,2,0.5395,02,0.0,-109.3,23.8,Niño,2.1,DJF
7022,2016-02-01,est_10,18.7039,2016.0,2,2.1729,02,9.0,-112.3,27.6,Niño,2.1,DJF
